Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cleaned
Supplier management,2,Supplier management 2,"Assists in the collection and reporting of supplier performance data._x000D_
Assists with the routine day-to-day communication between the organisation and suppliers.",assists collection reporting supplier performance data_xd_ assists routine daytoday communication organisation suppliers
Supplier management,3,Supplier management 3,"Acts as the routine contact point between the organisation and suppliers._x000D_
Supports resolution of supplier-related incidents, problems, or unsatisfactory performance._x000D_
Collects and reports on supplier performance data.",acts routine contact point organisation suppliers_xd_ supports resolution supplierrelated incidents problems unsatisfactory performance_xd_ collects reports supplier performance data
Supplier management,4,Supplier management 4,"Collects supplier performance data and investigates problems. _x000D_
Monitors and reports on supplier performance, customer satisfaction, adherence to security requirements and market intelligence. Validates that suppliers' performance is in accordance with contract terms. _x000D_
Engages proactively and collaboratively with suppliers to resolve incidents, problems, or unsatisfactory performance. _x000D_
Implements supplier management-related service improvement initiatives and programmes.",collects supplier performance data investigates problems _xd_ monitors reports supplier performance customer satisfaction adherence security requirements market intelligence validates suppliers performance accordance contract terms _xd_ engages proactively collaboratively suppliers resolve incidents problems unsatisfactory performance _xd_ implements supplier managementrelated service improvement initiatives programmes
Supplier management,5,Supplier management 5,"Manages suppliers to meet key performance indicators and agreed targets. _x000D_
Manages the operational relationships between suppliers and ensures potential disputes or conflicts  are raised and resolved. _x000D_
Performs bench-marking and makes use of supplier performance data to ensure performance is adequately monitored and regularly reviewed. Use suppliers' expertise to support and inform development roadmaps._x000D_
Manages implementation of supplier service improvement actions. Identifies constraints and opportunities when negotiating or renegotiating contracts.",manages suppliers meet key performance indicators agreed targets _xd_ manages operational relationships suppliers ensures potential disputes conflicts raised resolved _xd_ performs benchmarking makes use supplier performance data ensure performance adequately monitored regularly reviewed use suppliers expertise support inform development roadmaps_xd_ manages implementation supplier service improvement actions identifies constraints opportunities negotiating renegotiating contracts
Supplier management,6,Supplier management 6,"Develops organisational policies, standards and guidelines to ensure effective supplier management across the integrated supply chain. _x000D_
Defines the approach for commercial communications and the management of relationships with suppliers. Establishes a positive and effective working environment with suppliers for mutual benefit. _x000D_
Ensures resources and tools are in place to conduct bench-marking. Reviews supplier analysis and assesses effectiveness across the supply chain. _x000D_
Manages risks and assures the quality of the services delivered by suppliers.",develops organisational policies standards guidelines ensure effective supplier management across integrated supply chain _xd_ defines approach commercial communications management relationships suppliers establishes positive effective working environment suppliers mutual benefit _xd_ ensures resources tools place conduct benchmarking reviews supplier analysis assesses effectiveness across supply chain _xd_ manages risks assures quality services delivered suppliers
Supplier management,7,Supplier management 7,"Determines overall supplier management strategy, embracing effective management and operational relationships at all levels. _x000D_
Leads collaborative supplier partnerships. Aligns supplier performance and relationship management with business objectives and sourcing strategies._x000D_
Establishes frameworks for supplier governance and service monitoring._x000D_
Ensures commercial value from contracts and represents the organisation in significant supplier disputes.",determines overall supplier management strategy embracing effective management operational relationships levels _xd_ leads collaborative supplier partnerships aligns supplier performance relationship management business objectives sourcing strategies_xd_ establishes frameworks supplier governance service monitoring_xd_ ensures commercial value contracts represents organisation significant supplier disputes
Contract management,2,Contract management 2,"Assists in collecting contract performance data. _x000D_
Produces standard reports on contract performance under routine supervision.",assists collecting contract performance data _xd_ produces standard reports contract performance routine supervision
Contract management,3,Contract management 3,"Acts as a routine contact point between the organisation and counterparties concerning contract management. _x000D_
Supports the collection of contract performance data. Creates standard reports on contract performance.",acts routine contact point organisation counterparties concerning contract management _xd_ supports collection contract performance data creates standard reports contract performance
Contract management,4,Contract management 4,"Sources and collects contract performance data (such as pricing and supply chain costs), and monitors performance against key performance indicators. _x000D_
Monitors progress against business objectives specified in the business case. Proactively manages risk and reward mechanisms in the contract. _x000D_
Identifies and reports under-performance and develops opportunities for improvement. Monitors compliance with terms and conditions and takes appropriate steps to address non-compliance. _x000D_
Identifies where change is required and plans for variations. Ensures, in consultation with stakeholders, that change management protocols are implemented.",sources collects contract performance data pricing supply chain costs monitors performance key performance indicators _xd_ monitors progress business objectives specified business case proactively manages risk reward mechanisms contract _xd_ identifies reports underperformance develops opportunities improvement monitors compliance terms conditions takes appropriate steps address noncompliance _xd_ identifies change required plans variations ensures consultation stakeholders change management protocols implemented
Contract management,5,Contract management 5,"Oversees and measures the fulfilment of contractual obligations. _x000D_
Uses key performance indicators to monitor and challenge performance and identify opportunities for continual improvement. Develops strategies to address under-performance and compliance failures, including the application of contract terms. _x000D_
Identifies where changes are required, evaluates the impact, and advises stakeholders about the implications and consequences. Negotiates variations and seeks appropriate authorisation. _x000D_
Actively supports and engages with experts and stakeholders to ensure continual improvements are identified through review and benchmarking processes. Develops and implements change management protocols.",oversees measures fulfilment contractual obligations _xd_ uses key performance indicators monitor challenge performance identify opportunities continual improvement develops strategies address underperformance compliance failures including application contract terms _xd_ identifies changes required evaluates impact advises stakeholders implications consequences negotiates variations seeks appropriate authorisation _xd_ actively supports engages experts stakeholders ensure continual improvements identified review benchmarking processes develops implements change management protocols
Contract management,6,Contract management 6,"Negotiates and resolves contractual issues, including failure to meet contractual obligations. _x000D_
Promotes change control processes and leads variation negotiations when necessary. Champions continual improvement programmes, jointly developing strategies and incentives to enhance performance. Undertakes comprehensive financial evaluations. _x000D_
Ensures due diligence and legal vetting underpin all procurement processes, affirming risk assessment and compliance in contractual engagements. Ensures lessons learned from reviews are documented and promoted to all stakeholders. _x000D_
Leads the advancement and application of effective contract management practices within a specific business domain or category.",negotiates resolves contractual issues including failure meet contractual obligations _xd_ promotes change control processes leads variation negotiations necessary champions continual improvement programmes jointly developing strategies incentives enhance performance undertakes comprehensive financial evaluations _xd_ ensures due diligence legal vetting underpin procurement processes affirming risk assessment compliance contractual engagements ensures lessons learned reviews documented promoted stakeholders _xd_ leads advancement application effective contract management practices within specific business domain category
Contract management,7,Contract management 7,"Leads the strategic direction and governance of contract management processes across the organisation. Advises executive leadership on contract management risks and strategies._x000D_
Implements contract management strategies aligned with organisational goals and market dynamics, including oversight of significant contracts and associated legal risks. Acts as the escalation point for major disputes. _x000D_
Promotes operational excellence in contract management, driving supply chain contracting improvements and innovation. _x000D_
Establishes strategic partnerships, aligning organisational and supplier goals. Represents the organisation in key negotiations, ensuring strategic, compliant outcomes.",leads strategic direction governance contract management processes across organisation advises executive leadership contract management risks strategies_xd_ implements contract management strategies aligned organisational goals market dynamics including oversight significant contracts associated legal risks acts escalation point major disputes _xd_ promotes operational excellence contract management driving supply chain contracting improvements innovation _xd_ establishes strategic partnerships aligning organisational supplier goals represents organisation key negotiations ensuring strategic compliant outcomes
Stakeholder relationship management,4,Stakeholder relationship management 4,"Deals with problems and issues, managing resolutions, corrective actions, lessons learned and the collection and dissemination of relevant information. _x000D_
Implements stakeholder engagement/communications plans.  Collects and uses feedback from customers and stakeholders to help measure the effectiveness of stakeholder management. _x000D_
Helps develop and enhance customer and stakeholder relationships.",deals problems issues managing resolutions corrective actions lessons learned collection dissemination relevant information _xd_ implements stakeholder engagementcommunications plans collects uses feedback customers stakeholders help measure effectiveness stakeholder management _xd_ helps develop enhance customer stakeholder relationships
Stakeholder relationship management,5,Stakeholder relationship management 5,"Identifies the communications and relationship needs of stakeholder groups. Translates communications/stakeholder engagement strategies into specific activities and deliverables. _x000D_
Facilitates open communication and discussion between stakeholders. _x000D_
Acts as a single point of contact by developing, maintaining and working to stakeholder engagement strategies and plans.  Provides informed feedback to assess and promote understanding. _x000D_
Facilitates business decision-making processes. Captures and disseminates technical and business information.",identifies communications relationship needs stakeholder groups translates communicationsstakeholder engagement strategies specific activities deliverables _xd_ facilitates open communication discussion stakeholders _xd_ acts single point contact developing maintaining working stakeholder engagement strategies plans provides informed feedback assess promote understanding _xd_ facilitates business decisionmaking processes captures disseminates technical business information
Stakeholder relationship management,6,Stakeholder relationship management 6,"Leads the development of comprehensive stakeholder management strategies and plans. _x000D_
Establishes and builds long-term, strategic relationships with key stakeholders to support service delivery and change initiatives. _x000D_
Acts as a principal point of contact, ensuring effective communication and alignment. Negotiates and ensures agreements meet stakeholder needs._x000D_
Oversees the monitoring of stakeholder relationships, capturing lessons learned and providing feedback. Leads initiatives to enhance communication and relationships, promoting collaboration and understanding between all parties.",leads development comprehensive stakeholder management strategies plans _xd_ establishes builds longterm strategic relationships key stakeholders support service delivery change initiatives _xd_ acts principal point contact ensuring effective communication alignment negotiates ensures agreements meet stakeholder needs_xd_ oversees monitoring stakeholder relationships capturing lessons learned providing feedback leads initiatives enhance communication relationships promoting collaboration understanding parties
Stakeholder relationship management,7,Stakeholder relationship management 7,"Determines the strategic approach to understanding stakeholder objectives and requirements. _x000D_
Works with all interested parties to identify stakeholders and establish effective relationships. Establishes and promotes the overall vision for how stakeholder objectives are met and determines organisational roles and alignment. _x000D_
Actively manages relationships with the most senior stakeholders and is the ultimate escalation point for issue resolution.",determines strategic approach understanding stakeholder objectives requirements _xd_ works interested parties identify stakeholders establish effective relationships establishes promotes overall vision stakeholder objectives met determines organisational roles alignment _xd_ actively manages relationships senior stakeholders ultimate escalation point issue resolution
Customer service support,1,Customer service support 1,"Receives and handles routine customer inquiries and requests, following established procedures._x000D_
Accurately records customer interactions and maintains relevant records._x000D_
Escalates complex issues to appropriate team members or departments.",receives handles routine customer inquiries requests following established procedures_xd_ accurately records customer interactions maintains relevant records_xd_ escalates complex issues appropriate team members departments
Customer service support,2,Customer service support 2,"Responds to common customer service requests, providing information to enable fulfilment or resolution._x000D_
Allocates unresolved calls, requests, or issues to appropriate functions._x000D_
Contributes to the maintenance of customer service knowledge bases and documentation._x000D_
Assists in monitoring customer satisfaction metrics.",responds common customer service requests providing information enable fulfilment resolution_xd_ allocates unresolved calls requests issues appropriate functions_xd_ contributes maintenance customer service knowledge bases documentation_xd_ assists monitoring customer satisfaction metrics
Customer service support,3,Customer service support 3,"Acts as a routine contact point for customers, handling a wide range of inquiries and service requests._x000D_
Performs initial investigation and diagnosis of customer issues, resolving them where possible or escalating as needed._x000D_
Contributes to the development of service standards and procedures._x000D_
Assists in analysing service performance data and identifying areas for improvement.",acts routine contact point customers handling wide range inquiries service requests_xd_ performs initial investigation diagnosis customer issues resolving possible escalating needed_xd_ contributes development service standards procedures_xd_ assists analysing service performance data identifying areas improvement
Customer service support,4,Customer service support 4,"Monitors service delivery across multiple channels and analyses performance data._x000D_
Contributes to the development and implementation of service standards and procedures. Provides technical and procedural guidance to team members._x000D_
Identifies trends in customer inquiries and service issues, recommending process improvements._x000D_
Collaborates with other departments to enhance the overall customer experience.",monitors service delivery across multiple channels analyses performance data_xd_ contributes development implementation service standards procedures provides technical procedural guidance team members_xd_ identifies trends customer inquiries service issues recommending process improvements_xd_ collaborates departments enhance overall customer experience
Customer service support,5,Customer service support 5,"Manages day-to-day operations of the customer service function, including resource planning and work allocation._x000D_
Develops and implements service standards, policies and procedures. Analyses service metrics and customer feedback to drive continuous improvement initiatives._x000D_
Ensures the service catalogue is comprehensive, up-to-date and aligned with organisational goals._x000D_
Develops approaches to enhance customer satisfaction.",manages daytoday operations customer service function including resource planning work allocation_xd_ develops implements service standards policies procedures analyses service metrics customer feedback drive continuous improvement initiatives_xd_ ensures service catalogue comprehensive uptodate aligned organisational goals_xd_ develops approaches enhance customer satisfaction
Customer service support,6,Customer service support 6,"Shapes the strategic direction for customer service across the organisation._x000D_
Defines service channels, service levels, standards and the monitoring process for customer service or service desk staff. Champions the service culture required to deliver organisational outcomes._x000D_
Leads the development and implementation of organisational frameworks for complaints, service standards and operational agreements._x000D_
Takes responsibility for business continuity and legal, regulatory and contractual compliance.",shapes strategic direction customer service across organisation_xd_ defines service channels service levels standards monitoring process customer service service desk staff champions service culture required deliver organisational outcomes_xd_ leads development implementation organisational frameworks complaints service standards operational agreements_xd_ takes responsibility business continuity legal regulatory contractual compliance
Business administration,1,Business administration 1,"Performs routine administrative tasks in a structured environment. _x000D_
Follows clear procedures. Uses common office software and equipment. _x000D_
Organises and maintains information following agreed procedures._x000D_
Assists with basic coordination activities.",performs routine administrative tasks structured environment _xd_ follows clear procedures uses common office software equipment _xd_ organises maintains information following agreed procedures_xd_ assists basic coordination activities
Business administration,2,Business administration 2,"Assists with administrative tasks for a team. _x000D_
Maintains systems for organising information and documents. _x000D_
Coordinates team activities and acts as a point of contact for internal and external contacts._x000D_
Uses relevant digital tools and platforms.",assists administrative tasks team _xd_ maintains systems organising information documents _xd_ coordinates team activities acts point contact internal external contacts_xd_ uses relevant digital tools platforms
Business administration,3,Business administration 3,"Provides administrative support function to teams and meetings._x000D_
Takes an active part in team discussions. _x000D_
Sets up and maintains systems for organising information and documents. Compiles and distributes reports. _x000D_
Provides guidance on administrative software, procedures, processes, tools and techniques.",provides administrative support function teams meetings_xd_ takes active part team discussions _xd_ sets maintains systems organising information documents compiles distributes reports _xd_ provides guidance administrative software procedures processes tools techniques
Business administration,4,Business administration 4,"Assists the teams and managers in ensuring they have the information and resources needed to support ongoing processes. _x000D_
Assists in planning for meetings. Liaises and organises across functions. _x000D_
Sets up and provides detailed guidance on software, procedures, processes, tools and techniques for administration and workplace productivity._x000D_
Contributes to the development and maintenance of organisational policies, procedures and documentation.",assists teams managers ensuring information resources needed support ongoing processes _xd_ assists planning meetings liaises organises across functions _xd_ sets provides detailed guidance software procedures processes tools techniques administration workplace productivity_xd_ contributes development maintenance organisational policies procedures documentation
Business administration,5,Business administration 5,"Manages the delivery of business administration services. _x000D_
Manages and prioritises the schedules and communication of senior managers and leadership teams to ensure efficient use of time and resources._x000D_
Handles sensitive, confidential information. _x000D_
Ensures managers have the information and resources needed to support ongoing processes and changes in processes.",manages delivery business administration services _xd_ manages prioritises schedules communication senior managers leadership teams ensure efficient use time resources_xd_ handles sensitive confidential information _xd_ ensures managers information resources needed support ongoing processes changes processes
Business administration,6,Business administration 6,"Leads and coordinates strategic initiatives working across departmental or functional boundaries. _x000D_
Designs, plans and coordinates high-level meetings and events, ensuring alignment with strategic objectives and desired outcomes._x000D_
Provides direction and receives progress updates from members of an executive team. Meets collectively or individually with members of a leadership management team to follow up on action points, issues and risks. Reports on progress and resolves issues. _x000D_
Manages highly sensitive and confidential issues and information.",leads coordinates strategic initiatives working across departmental functional boundaries _xd_ designs plans coordinates highlevel meetings events ensuring alignment strategic objectives desired outcomes_xd_ provides direction receives progress updates members executive team meets collectively individually members leadership management team follow action points issues risks reports progress resolves issues _xd_ manages highly sensitive confidential issues information
Bid/proposal management,3,Bid/proposal management 3,"Supports the development of proposals by engaging in document analysis and internal review. _x000D_
Understands and analyses bid documents and requirements, preparing initial response drafts that align with the organisation's capabilities and stakeholder needs. _x000D_
Communicates with internal stakeholders to gather necessary information and clarify proposal requirements. _x000D_
Ensures proposal responses meet basic compliance standards and align with the specified requirements and organisational capabilities.",supports development proposals engaging document analysis internal review _xd_ understands analyses bid documents requirements preparing initial response drafts align organisations capabilities stakeholder needs _xd_ communicates internal stakeholders gather necessary information clarify proposal requirements _xd_ ensures proposal responses meet basic compliance standards align specified requirements organisational capabilities
Bid/proposal management,4,Bid/proposal management 4,"Leads the creation of small to medium proposals, integrating technical analysis and broader context. _x000D_
Coordinates team efforts, shapes the proposal structure and addresses financial aspects including budgeting and pricing strategies. _x000D_
Identifies and manages proposal risks, ensuring timely compliance with stakeholder expectations. _x000D_
Engages with stakeholders and shapes proposal structure and content based on in-depth discussions and feedback.",leads creation small medium proposals integrating technical analysis broader context _xd_ coordinates team efforts shapes proposal structure addresses financial aspects including budgeting pricing strategies _xd_ identifies manages proposal risks ensuring timely compliance stakeholder expectations _xd_ engages stakeholders shapes proposal structure content based indepth discussions feedback
Bid/proposal management,5,Bid/proposal management 5,"Leads the formulation and execution of significant proposals, managing the process from initial evaluation to final submission. _x000D_
Oversees significant proposals, aligning them with organisational strategies and managing the process from inception to submission. _x000D_
Collaborates with high-level stakeholders, negotiates with key stakeholders and secures advantageous partnerships. _x000D_
Refines and optimises the proposal development process for efficiency and effectiveness.",leads formulation execution significant proposals managing process initial evaluation final submission _xd_ oversees significant proposals aligning organisational strategies managing process inception submission _xd_ collaborates highlevel stakeholders negotiates key stakeholders secures advantageous partnerships _xd_ refines optimises proposal development process efficiency effectiveness
Bid/proposal management,6,Bid/proposal management 6,"Directs major proposal initiatives, devising engagement strategies and promoting excellence in proposal practices throughout the organisation. _x000D_
Influences organisational policies and strategies in proposal management, setting standards and expectations.",directs major proposal initiatives devising engagement strategies promoting excellence proposal practices throughout organisation _xd_ influences organisational policies strategies proposal management setting standards expectations
Selling,3,Selling 3,"Identifies new leads and prospects and communicates them to the sales manager. _x000D_
Responds to assigned sales leads. Assists in maintaining relationships with existing customers and identifies potential opportunities for additional sales or services._x000D_
Applies agreed standards and tools to perform simple sales tasks or support complex sales processes. _x000D_
Monitors and reports on assigned sales quota, performance, customer satisfaction, market intelligence and competitors.",identifies new leads prospects communicates sales manager _xd_ responds assigned sales leads assists maintaining relationships existing customers identifies potential opportunities additional sales services_xd_ applies agreed standards tools perform simple sales tasks support complex sales processes _xd_ monitors reports assigned sales quota performance customer satisfaction market intelligence competitors
Selling,4,Selling 4,"Identifies and qualifies new sales leads and prospects with a view to developing a pipeline of potential opportunities. _x000D_
Manages existing sales leads. _x000D_
Collects and uses information to achieve sales objectives. _x000D_
Understands customers and their needs, and develops and enhances customer relationships before, during and after the conclusion of agreements/contracts. Identifies opportunities for upselling and cross-selling within the existing customer base.",identifies qualifies new sales leads prospects view developing pipeline potential opportunities _xd_ manages existing sales leads _xd_ collects uses information achieve sales objectives _xd_ understands customers needs develops enhances customer relationships conclusion agreementscontracts identifies opportunities upselling crossselling within existing customer base
Selling,5,Selling 5,"Designs and implements sales strategies and works with senior management to implement sales plans. _x000D_
Develops and maintains effective customer relationships at executive levels and qualifies new sales leads. Collaborates with bid teams to align sales strategies._x000D_
Agrees and signs contracts. Maintains customer contact during and after sales to pre-empt issues and identify opportunities. Develops strategies for account growth and retention. Implements initiatives to ensure long-term value and loyalty._x000D_
Plans, monitors and controls sales teams. Contributes to the development of sales teams and product/service development.",designs implements sales strategies works senior management implement sales plans _xd_ develops maintains effective customer relationships executive levels qualifies new sales leads collaborates bid teams align sales strategies_xd_ agrees signs contracts maintains customer contact sales preempt issues identify opportunities develops strategies account growth retention implements initiatives ensure longterm value loyalty_xd_ plans monitors controls sales teams contributes development sales teams productservice development
Selling,6,Selling 6,"Oversees the organisation's sales activities to align with business objectives._x000D_
Approves sales proposals and targets. Develops sales policy and strategy, and contributes to the marketing strategy. Works with bid management to ensure sales strategies are effectively represented in major proposals._x000D_
Negotiates with senior customer representatives on technical and contractual issues. Agrees and signs contracts._x000D_
Collaborates on evolving services, products, systems and contracts to meet future customer needs. Implements strategies for lifetime customer value and partnerships. Oversees key account management programmes.",oversees organisations sales activities align business objectives_xd_ approves sales proposals targets develops sales policy strategy contributes marketing strategy works bid management ensure sales strategies effectively represented major proposals_xd_ negotiates senior customer representatives technical contractual issues agrees signs contracts_xd_ collaborates evolving services products systems contracts meet future customer needs implements strategies lifetime customer value partnerships oversees key account management programmes
Sales support,1,Sales support 1,"Communicates effectively with customers to provide basic information about products and services._x000D_
Seeks assistance from colleagues for the resolution of more complex customer service queries and complaints. _x000D_
Uses sales support systems to retrieve and enter data.",communicates effectively customers provide basic information products services_xd_ seeks assistance colleagues resolution complex customer service queries complaints _xd_ uses sales support systems retrieve enter data
Sales support,2,Sales support 2,"Communicates effectively with customers by telephone and in person. _x000D_
Assists in providing customer service, including technical advice and guidance on the successful use of products and services. _x000D_
Assists in devising solutions to customer requirements and solves straightforward problems.",communicates effectively customers telephone person _xd_ assists providing customer service including technical advice guidance successful use products services _xd_ assists devising solutions customer requirements solves straightforward problems
Sales support,3,Sales support 3,"Helps customers to clarify their requirements and documents the conclusions reached. _x000D_
Contributes to preparing and supporting bids and sales proposals. _x000D_
Provides customer service, including technical advice and guidance on the successful use of complex products and services.",helps customers clarify requirements documents conclusions reached _xd_ contributes preparing supporting bids sales proposals _xd_ provides customer service including technical advice guidance successful use complex products services
Sales support,4,Sales support 4,"Works closely with the sales team to help prospects to clarify their requirements. _x000D_
Devises solutions and assesses their feasibility and practicality. _x000D_
Demonstrates technical feasibility using physical or simulation models. Resolves technical problems._x000D_
Produces estimates of cost and risk and initial project plans to inform sales proposals.",works closely sales team help prospects clarify requirements _xd_ devises solutions assesses feasibility practicality _xd_ demonstrates technical feasibility using physical simulation models resolves technical problems_xd_ produces estimates cost risk initial project plans inform sales proposals
Sales support,5,Sales support 5,"Works closely with the sales team to ensure customers are assisted and advised appropriately. _x000D_
Ensures reliable cost, effort and risk estimates and project plans are produced. _x000D_
Manages all sales support activities, taking full responsibility for the technical content of bids and sales proposals. _x000D_
Establishes metrics to provide data on performance and support continual improvement of sales support activities.",works closely sales team ensure customers assisted advised appropriately _xd_ ensures reliable cost effort risk estimates project plans produced _xd_ manages sales support activities taking full responsibility technical content bids sales proposals _xd_ establishes metrics provide data performance support continual improvement sales support activities
Sales support,6,Sales support 6,"Leads the organisation's sales-related customer service activities to ensure they are aligned with corporate objectives and policy. _x000D_
Approves proposals and initiates the implementation of development activity in customer services and systems.",leads organisations salesrelated customer service activities ensure aligned corporate objectives policy _xd_ approves proposals initiates implementation development activity customer services systems
Marketing management,4,Marketing management 4,"Contributes to the development and execution of marketing plans. _x000D_
Applies recognised good practices to analyse marketing effectiveness and ROI. _x000D_
Assists in defining target customers and brand positioning. Implements solutions to marketing challenges within established guidelines. Collaborates with team members to execute marketing activities.",contributes development execution marketing plans _xd_ applies recognised good practices analyse marketing effectiveness roi _xd_ assists defining target customers brand positioning implements solutions marketing challenges within established guidelines collaborates team members execute marketing activities
Marketing management,5,Marketing management 5,"Develops and manages comprehensive marketing plans aligned with business objectives. _x000D_
Implements strategies to maximise marketing effectiveness given organisational goals. Leads the definition of target customers and brand positioning._x000D_
Analyses complex data to inform marketing decisions. Creates innovative solutions to marketing challenges. _x000D_
Coordinates with other teams to execute integrated marketing approaches.",develops manages comprehensive marketing plans aligned business objectives _xd_ implements strategies maximise marketing effectiveness given organisational goals leads definition target customers brand positioning_xd_ analyses complex data inform marketing decisions creates innovative solutions marketing challenges _xd_ coordinates teams execute integrated marketing approaches
Marketing management,6,Marketing management 6,"Defines and oversees the execution of  marketing strategies to achieve organisational goals. _x000D_
Ensures alignment of marketing plans with business objectives and market insights. Evaluates and optimises marketing effectiveness and budget allocation to drive outcomes._x000D_
Identifies and addresses current and future marketing capability needs. _x000D_
Collaborates with senior leadership to integrate marketing strategies with organisational vision.",defines oversees execution marketing strategies achieve organisational goals _xd_ ensures alignment marketing plans business objectives market insights evaluates optimises marketing effectiveness budget allocation drive outcomes_xd_ identifies addresses current future marketing capability needs _xd_ collaborates senior leadership integrate marketing strategies organisational vision
Marketing management,7,Marketing management 7,"Leads the creation of long-term marketing strategies aligned with organisational vision. _x000D_
Directs the marketing function, ensuring integration of marketing plans with business goals. Oversees the evaluation and optimisation of marketing activities, ensuring maximum impact and efficiency. _x000D_
Provides strategic advice to senior leadership on marketing trends and opportunities. _x000D_
Promotes a culture of creativity and continuous improvement within the marketing team. Ensures the marketing function adapts to changing market conditions and business needs.",leads creation longterm marketing strategies aligned organisational vision _xd_ directs marketing function ensuring integration marketing plans business goals oversees evaluation optimisation marketing activities ensuring maximum impact efficiency _xd_ provides strategic advice senior leadership marketing trends opportunities _xd_ promotes culture creativity continuous improvement within marketing team ensures marketing function adapts changing market conditions business needs
Market research,3,Market research 3,"Assists in the design and execution of market research studies. _x000D_
Collects and analyses data using standard methods and tools. _x000D_
Contributes to the preparation of research reports and presentations.",assists design execution market research studies _xd_ collects analyses data using standard methods tools _xd_ contributes preparation research reports presentations
Market research,4,Market research 4,"Designs and conducts market research studies independently. _x000D_
Analyses market data to identify trends, opportunities and challenges. _x000D_
Segments markets and identifies target customers based on research findings. _x000D_
Prepares research reports and presentations to communicate findings and recommendations.",designs conducts market research studies independently _xd_ analyses market data identify trends opportunities challenges _xd_ segments markets identifies target customers based research findings _xd_ prepares research reports presentations communicate findings recommendations
Market research,5,Market research 5,"Leads the design and execution of complex market research studies. _x000D_
Analyses and synthesises market data from multiple sources to generate insights and recommendations. _x000D_
Presents research findings and strategic recommendations to stakeholders. Advises stakeholders on the implications of research findings for business strategy and decision-making. _x000D_
Contributes to the development of organisational market research methods and standards.",leads design execution complex market research studies _xd_ analyses synthesises market data multiple sources generate insights recommendations _xd_ presents research findings strategic recommendations stakeholders advises stakeholders implications research findings business strategy decisionmaking _xd_ contributes development organisational market research methods standards
Market research,6,Market research 6,"Sets the overall direction and strategy for market research in the organisation. _x000D_
Develops organisational policies, standards and guidelines for market research. Ensures market research capabilities and resources are aligned with business needs and objectives. _x000D_
Communicates high-level market insights and strategic implications to senior leadership and stakeholders. _x000D_
Collaborates with internal and external partners to influence organisational strategy and drive the effective use of market research in decision-making and strategy development.",sets overall direction strategy market research organisation _xd_ develops organisational policies standards guidelines market research ensures market research capabilities resources aligned business needs objectives _xd_ communicates highlevel market insights strategic implications senior leadership stakeholders _xd_ collaborates internal external partners influence organisational strategy drive effective use market research decisionmaking strategy development
Brand management,4,Brand management 4,"Contributes to the development and implementation of brand identity elements and guidelines. _x000D_
Supports brand research and analysis. _x000D_
Ensures consistent application of brand standards across assigned projects. _x000D_
Monitors brand performance metrics and reports on key findings.",contributes development implementation brand identity elements guidelines _xd_ supports brand research analysis _xd_ ensures consistent application brand standards across assigned projects _xd_ monitors brand performance metrics reports key findings
Brand management,5,Brand management 5,"Leads the development and execution of brand strategies and plans. _x000D_
Defines brand positioning, values and value proposition. Applies principles of brand architecture to manage brand portfolio. _x000D_
Conducts in-depth brand performance analysis and provides strategic recommendations. _x000D_
Uses creative approaches to differentiate the brand. Collaborates with internal and external stakeholders to align brand initiatives with business objectives.",leads development execution brand strategies plans _xd_ defines brand positioning values value proposition applies principles brand architecture manage brand portfolio _xd_ conducts indepth brand performance analysis provides strategic recommendations _xd_ uses creative approaches differentiate brand collaborates internal external stakeholders align brand initiatives business objectives
Brand management,6,Brand management 6,"Establishes the overall brand vision, strategy and governance for the organisation. _x000D_
Oversees brand research, analysis and strategic planning. _x000D_
Evaluates brand performance and equity, making decisions to enhance brand value and organisational outcomes. Ensures alignment of brand strategy with organisational goals and market dynamics. _x000D_
Governs the application of visual identity and distinctive brand assets across the organisation.",establishes overall brand vision strategy governance organisation _xd_ oversees brand research analysis strategic planning _xd_ evaluates brand performance equity making decisions enhance brand value organisational outcomes ensures alignment brand strategy organisational goals market dynamics _xd_ governs application visual identity distinctive brand assets across organisation
Customer engagement and loyalty,3,Customer engagement and loyalty 3,"Assists in implementing customer engagement and loyalty initiatives. _x000D_
Uses marketing technologies for customer engagement tasks. Sets up campaigns in lifecycle management tools._x000D_
Collects and analyses customer data to support personalised communications. _x000D_
Monitors and reports on customer engagement metrics.",assists implementing customer engagement loyalty initiatives _xd_ uses marketing technologies customer engagement tasks sets campaigns lifecycle management tools_xd_ collects analyses customer data support personalised communications _xd_ monitors reports customer engagement metrics
